Centre address	No_Street	StreetName	Suburb	ID
Tijgerpark 1, Willie van Schoor Drive, Bellville, 7530	1	Willie van Schoor Drive	Bellville	1030
2nd Floor Sunclare, Corner Protea and Dreyer Roads, Claremont, Cape Town, 7708	Cnr	Protea and Dreyer Roads	Claremont	1044
				922
Rondebosch, Cape Town 7700			Rondebosch	338
Stellenbosch Central, Stellenbosch 7600		Stellenbosch Central	Stellenbosch 7600	339
Robert Sobukwe Rd, Bellville, Cape Town 7535		Robert Sobukwe Rd	Bellville	340
Symphony Way, Cape Town 7530		Symphony Way	Bellville	581
Rothschille Boulevard Panorama 7500		Rothschild Boulevard	Panorama	16
Proton Road Belhar7493		Proton Street	Belhar	17
Connaught Road Parow Valley 7503		Connaught Road,	PAROW VALLEY	18
Sackson Street Bellville South 7530		Sackson Street	Bellville South	19
80 Voortrekker Road Bellville	80	Voortrekker Rd	BELLVILLE	20
Vanguard Drive Goodwood 7460		Vanguard Drive	Goodwood	23
Community Development Centre (Kwa-Nokuthula) N2 Opposite Christian School Plettenberg 6600		N2 Kwanonkuthula	Plettenberg Bay	257
C/o Essenhout & Kreupelhout Streets Heiderant MOSSEL BAY 6511	Cnr & Kreupelhout Streets	Essenhout & Heiderand	Mossel Bay	258
Varkevisser Street, Riversdale, 6670 		Varkevisser Street	Riversdale	260
46 Hibernia Street George 6529	46	Hibernia Street	George	261
Cnr De Vries & Van Schalkwyk Streets Beaufort West 6970	Cnr	Van Schalkwyk & De Vries Streets	Rustdene	262
Adderley Street Oudtshoorn 6620		Adderley Street	Oudtshoorn	263
Clicks Building 2nd Floor 48 Voortrekker Road Malmesbury 7300	48	Voortrekker Road	Malmesbury	366
1 Akademie Street, Louwville, Vredenburg	1	Akademie Street	Louwville	367
Hoërskool Road, Vredendal		Hoërskool Road	Vredendal	369
101 Kerk Street Citrusdal 7340	101	Kerk Street	Citrusdal	370
C/O Charl Uys Drive and Neil Hare Street, Atlantis Industrial Area	Cnr	Charl Uys Drive & Neil Hare Street	Atlantis Industrial Area	371
4 St Thomas Street Malmesbury 7300	4	St. Thomas Street	Malmesbury	372
71 Aerodrome Road Strand 7139	71	Aerodrome Road	Strand	531
Rainier Street WORCESTER 6850		Rainier Straat	Worcester	532
Plein Street Paarl		Plein Street	Paarl	533
Van Riebeeck Street Stellenbosch 7600		Van Riebeeck Street	Stellenbosch	534
College Street Caledon 7230	37	Koalisie Straat	Caledon	535
Cnr. NY1 & Ngambu Street Guguletu 7750false,false,1	Cnr	Steve Biko Drive & Ngambu Street	Guguletu	619
Kromboom Road Crawford 7780		Kromboom Road	Crawford	620
Jan Smuts Drive Pinelands 7405		Jan Smuts Drive	Pinelands	621
Cnr Longmarket and Buitenkant Street Cape Town 8001	Cnr	Longmarket & Buitenkant Street	Cape Town	623
Breda Street Gardens Cape Town 8001	18	Breda Street	Gardens	624
Cnr of Poplar & Cedar Road Thornton 7460	Cnr	Cedar & Poplar Road	Thornton	625
Broad Road Wynberg 7800	31	Broad Road	Wynberg	626
Cnr of Protea & Eland Street Athlone 7764	Cnr	Protea & Eland Street	Athlone	627
