ORIGINAL ID,NEW ID,primary_institution,website
498,498,JDG Consulting?ÿ,
439,439,JED SKILLS ACADEMY,
111,111,Jesua Consultants (Pty) Ltd,
748,748,Jobstart Training  Centre (CWD),
683,683,JOHN RAMSEY SECONDARY ALC,
33,33,JONKERSRIVIER,
29,29,JOWELLS TOYOTA SPRINGBOK (Springbok),
148,148,Kaap Agri Training Centre,
349,349,KALBASKRAAL,
287,287,KALKFONTEIN CLC,
117,117,KAMANASSIE CLC,
53,53,KAYAMANDI SEC CLC,
370,370,KayDee Project Management Cc,
379,379,KEEROM,
15,15,KEITH NOLAN ENGINEERING CC T/A K N ENGINEERING (Blackheath),
717,717,KENSINGTON LITERACY PROJECT,
237,237,Kgolo Institute,
444,237,Kgolo Institute?ÿ,
428,428,KHAYALETHU,
422,422,KILN CONTRACTS (Retreat),
722,722,Kingsway College of Computing and Business Studies Pty (Ltd),
608,608,KLAPMUTS,
801,801,KLAWER SATELLIET SENTRUM,
449,449,Klein Karoo Resource Centre,
25,25,KLEINBERG,
296,296,KLIPDALE,
455,455,Knowledge Bases Sales,
397,397,KNYSNA MOTORS (Knysna),
755,755,KNYSNA SECONDARY SCHOOL,
710,420,Koeberg Nuclear P/S,
806,806,KOEKENAAP,
404,404,KOELENHOF,
557,557,KOINONIA COMMUNITY CENTER,
605,605,KORINGBERG (SITE),
98,98,KOUE BOKKEVELD CLC,
700,700,Koue Bokkeveld Training Centre,
780,780,KRAAIFONTEIN CLC,
611,59,KRAAIFONTEIN SHOOTING ACADEMY KRAAIFONTEIN?ÿ,
59,59,KRAAIFONTEIN SHOOTING ACADEMY?ÿ,
115,115,KRANSHOEK,
807,807,Kromco (Pty) Limited,
785,785,KRUISMANSRIVIER,
191,191,KUYASA CLC,
505,505,KWANOKUTHULA (PHAKAMISANI),
394,394,KWV SOUTH AFRICA PTY LTD,
30,30,LADISMITH KAAS MPY EDMS BPK,
16,16,LAMBERTSBAAI,
66,66,LATEGANSVLEI ALC,
437,437,Latitude Varsity?ÿ,
343,343,Lavender Moon Trading 27 cc,
166,166,LE JARDINE,
158,158,LEIDEN CLC,
188,188,LENTEGEUR,
372,372,LEWENSRUIMTE ELSEN ABET CENTRE,
689,689,Lithotech Manufacturing Cape,
361,361,LIVINGSTONE TOURISM ACADEMY,
587,587,LJ JOHANNES T/A THE VILLAGE WORKSHOP (Durbanville),
768,768,Logo Print,
6,6,Loubser Du Plessis Inc?ÿ,
303,303,LR ALBERTYN T/A LA REFRIGERATION & ELECTRICAL SERVICES (Lansdowne),
520,520,LUCKHOFF SECONDARY ALC,
571,571,LUSTIGAAN BELEGGINGS (PTY) LTD T/A MARS EQUIPMENT MANUFACTURING (Daljosaphat),
127,127,LUTZVILLE CLC,
606,606,LYNEDOCH,
21,21,M & D ENGINEERING (Woodstock),
684,684,MA AFRIKA TIKKUN CLC,
383,383,Majahd Educational Services Multi-Purpose Primary Co-operative,
333,333,MALMESBURY NEW PRISON,
298,298,MALMESBURY VOLWASSE ONDERWYSSENTRUM,
138,138,Management College of Southern Africa (MANCOSA)?ÿ,
554,554,MANUEL SECURITY CC?ÿ,
68,68,MAPC TRADING (PTY) LTD T/A MAPC TRAINING ACADEMY (Maitland)(TP),
23,23,MARKET TOYOTA (Rylands),
584,584,MARSDEN (PTY) LTD (Airport Industria),
663,663,MARYLAND LITERACY PROGRAMME,
613,613,MASAKHANE ALC,
198,198,MASINYUSANE CLC,
230,230,MASIYILE ALC,
105,105,MASIZAME ALC,
575,575,MATIE COMMUNITY SERVICE,
450,450,MBEKWENI LITERACY PROJECT,
34,34,MC Hanekom?ÿ,
239,239,Mc Intosh Xaba and Associates (MXA)?ÿ,
514,514,McCarthy Academy Cape Town (BLACKHEATH) (TP),
74,514,McCarthy Automotive Artisans Academy (CAPE TOWN) (DTTC),
141,141,MCD Training Centre (Pty) Ltd (CAPE TOWN) (TP),
562,562,MCGREGOR CLC,
340,340,MECHANICAL TRAINING SCHOOL (Bellville South),
159,159,Media Village Communication,
629,629,Mediclinic (Pty) Ltd,
299,299,Merpak Envelopes Cape (Pty) Limited,
655,655,METHODIST CHURCH,
522,522,METHODIST MANDLENKOSI CLC,
812,812,MFULENI CLC,
468,468,MGI Bass Gordon GHF?ÿ,
675,675,MHONKO'S WASTE AND SECURITY SERVICES CC?ÿ,
400,400,MIDDELPLAAS,
634,634,MIKES AUTO ELECTRICAL CC (Tokai),
302,302,Mills Litho,
265,499,Milpark Business School,
499,499,Milpark Business School (Pty) Ltd,
671,499,Milpark Education (Pty) Ltd,
432,432,Mind Magic Consulting?ÿ,
485,485,MKHANGELI ALC,
550,550,MKHANYISELI CLC,
573,573,Molokutho Engineering Holding (Pty) Ltd T/A MTA - Mitchells Plain Training Academy (MITCHELLS PLAIN) (TP),
352,352,Moore Stephens Management Services (Pty) Ltd?ÿ,
174,174,MOORREESBURG CLC (MOVOS),
347,347,MORGENSTER (BALCO),
545,545,MOSSELBAY CLC,
517,517,MOTOR ELECTRODIESEL SERVICE (PTY) LTD (MOTOLEK) (Epping),
737,737,Mpact Kuilsriver,
247,247,MTD MANUFACTURING ENGINEERING (PTY) LTD T/A MICRO TOOL & DIE (Faure),
116,116,MZAMOMHLE ALC,
88,88,NACCW,
567,567,Namaqua Sands,
214,214,Nampak Cartons & Labels (W.C.),
218,214,"Nampak Cartons & Labels, Gravure - Western Cape",
232,214,Nampak Corrugated Cape Town,
360,214,Nampak Flexible Cape,
460,214,Nampak Laminated & Coated Products,
412,412,NAPIER (NEXT STEP),
596,596,Nascence Education,
279,279,NATIONAL DEPARTMENT OF CORRECTIONAL SERVICE - POLLSMOOR PRODUCTION WORKSHOP (Tokai),
101,101,National Institute for he Deaf,
3,101,National Institute For The Deaf,
809,809,National Training Institute (NTI),
568,568,NEDERBURG CLC,
750,750,Neil Fick Inc?ÿ,
794,794,NEILs AUTOCARE (Montague Gardens),
598,598,Nettex (Pty) Ltd,
310,310,NEW HORIZON,
536,536,Nexia Cape Financial Services CC?ÿ,
787,787,NISSENVILLE,
815,815,NOLUNGILE ALC,
62,62,NOLUTHANDO SCHOOL FOR THE DEAF,
756,756,Noluthando Training Industries (CAPE TOWN) TP,
208,208,NOMZAMO CLC,
690,690,Northlink (Bellville),
211,211,Northlink Belhar,
5,574,Northlink College - Bellville Campus (BELLVILLE) (TP),
425,574,Northlink College - Belville Campus,
617,574,Northlink College - Wingfield Campus (BELLVILLE) (TP),
180,574,Northlink College - Wingfield Campus (GOODWOOD) (DTTC),
574,574,Northlink FET College,
612,574,Northlink FET College,
627,574,Northlink FET College: Belhar Campus (Pending NATC Approval),
318,574,Northlink FET College: Belville Campus (Pending NATC Approval),
763,574,Northlink FET College::Wingfield Campus (Pending NATC Approval),
341,574,NORTHLINK TVET COLLEGE,
411,411,NOVICE H E T SERVICES?ÿ,
209,209,NQTAC - Cape (Pty)Ltd,
402,402,OBIQUA CORRECTIONAL SERVICES,
170,170,OCEAN VIEW ALC,
