Old_ID,New_ID,_long_description,provider_id
350,350,"DESTA POWER MATLA - CAPE TOWN (Epping) Trasfered to L920711704 - Elliot Avenue, Epping, CAPE TOWN, 8001",473
701,701,Development Bank of Southern Africa (DBSA) - Development Bank of Southern Africa  Headway Hill  1258 Lever Rd Midrand,172
702,701,Development Bank of Southern Africa (DBSA) - Development Bank of Southern Africa  Headway Hill  1258 Lever Rd Midrand,250
703,703,"DIAZVILLE ALC - DIAZVILLE PRIMARY, VRAAGOM STREET, DIAZVILLE",69
704,704,"DIE DUINE ALC - SECOND AVENUE, LOTUS RIVER, CAPE TOWN",741
705,705,"DIE HOEK - DIE HOEK FARMS, EN BO DOORNRIVIER, WORCESTER",666
706,706,Die Nooitgedacht Pers cc - 19A Woodlands Road,210
708,708,"DIE ONS WERELD CLC - VAN EYCK AVENUE, LADISMITH SEKONDER, LADISMITH",201
709,709,"DIE POORT - DIE POORT, UITZIG FARM (N7), CITRUSDAL",58
710,710,"DILIZUNGAZI - JABAVU ROAD, KWA-MANDLENKOSI, BEAUFORT WEST",28
712,712,DISTELL (PTY) LTD. - Libertas Building Adam Tas Street,382
713,713,Divfood Paarl - Van der Stel Street,268
716,716,"DOORNRIVIER ALC - NIEUWE MORGEN PRIM, SCHERPENHEUWEL, WORCESTER",54
717,717,"DORINGBAAI - MANDELA STREET, VANRHYNSDORP, VANRHYNSDORP",630
718,718,"DRAKENSTEIN KORREKTIEWE DIENSTE - DRAKENSTEIN PRISON, WEMMERSHOEK ROAD, PAARL",632
719,719,Drukkor Printing - 7 Hibernia Street,241
720,720,DRW Consultancy Enterprises CC - 0,525
721,721,DUENS BAKERY - 17 Fisher Avenue Eppinndust,769
722,722,"Durbanville College (Pty) Ltd - 2, The Crescent, Durbanville, 7550",406
723,723,"DWARSRIVIER CORRECTIONALSERVICES - DWARSRIVIER CORRECTIONAL SERVI,DE LIEDFE ROAD, WOLSELEY",80
725,725,"Dyna Training Pty Ltd - Unit D7, Collingwood Building, Black River Park, Observatory Cape Town 7925",40
727,727,"Dynamix Computer Training Center - 9th Floor, Manhattan Plaza 100 Edward Road Tygervalley  Western Cape 7443",670
729,729,"DYSSELDORP - DYSSELDORP PRIMARY, DYSSELS ROAD, DYSSELSDORP",688
730,730,"E Salomon & Co - 2 Canal Side, Heron Crescent, Century City, Cape Town",297
732,732,Early Learning Foundation Montessori Teacher Training - 69 Main Road Mowbray 7700,526
733,733,Early Learning Resource Unit (ELRU): Cape Educational Trust t/a - 19 Flamingo Crescent Lansdowne 7780,566
734,734,"EBENHAESER VOLWASSE ONDERRIGSENTRUM - SKOOLSTRAAT, EBENHAUSER, VREDENDAL",531
735,735,"ECA SA Cape Town - 46 New Market Street, Cape Town",374
737,737,"EDENDALE COMMUNITY LEARNING CENTRE - EDENDALE PRIMARY, C/O MANENBERG & PHILLIPPI CIRC,MANENBERG",731
